Team,Qual Avg,Best Qual,Elims Avg,Skill Avg,Events,Driver Skills,Programming Skills,Qual Matches,Elim Matches
TNTN,0,0,0,130.0,3,77,53,0,0
BLRS2,0,0,0,87.75,6,75,39,0,0
